Porosity_1,Permeability_1.1,Permeability_2.1,Permeability_3.1Porosity_2,Permeability_1.2,Permeability_2.2,Permeability_3.2Porosity_3,Permeability_1.3,Permeability_2.3,Permeability_3.3Porosity_4,Permeability_1.4,Permeability_2.4,Permeability_3.4Porosity_5,Permeability_1.5,Permeability_2.5,Permeability_3.5,Error
0.18,1.1e-15,9e-16,1e-15,0.2,1e-12,1e-12,1e-125,0.27,9.2e-13,9.9e-13,1e-12,0.19,1.04e-12,1.1e-12,8.5e-13,0.22,8e-16,1.1e-15,9e-16,0.318732
0.24,1e-15,1.1e-15,9e-16,0.2,1e-12,1e-12,1e-125,0.19,1.01e-12,1.11e-12,8.8e-13,0.25,1.03e-12,8.8e-13,1.06e-12,0.1,8e-16,1e-15,9e-16,0.843908
0.23,9e-16,9e-16,1e-15,0.2,1e-12,1e-12,1e-125,0.12,9.6e-13,1.11e-12,8.7e-13,0.27,1.04e-12,1.09e-12,8.3e-13,0.22,1e-15,1e-15,9e-16,1.15123
0.26,9e-16,9e-16,1.1e-15,0.2,1e-12,1e-12,1e-125,0.29,1.07e-12,1.18e-12,8.7e-13,0.16,9.3e-13,1.04e-12,9.1e-13,0.26,9e-16,1e-15,1.1e-15,1.29367
0.24,1e-15,1e-15,1.1e-15,0.2,1e-12,1e-12,1e-125,0.29,8.5e-13,1.12e-12,9.4e-13,0.26,1.15e-12,1.07e-12,8e-13,0.14,8e-16,8e-16,8e-16,1.37668
0.18,8e-16,9e-16,9e-16,0.2,1e-12,1e-12,1e-125,0.15,1.01e-12,1.05e-12,1.15e-12,0.19,9.8e-13,1.06e-12,9.9e-13,0.22,1.1e-15,1.1e-15,1.1e-15,1.57856
0.15,1.1e-15,9e-16,9e-16,0.2,1e-12,1e-12,1e-125,0.25,1.12e-12,1.02e-12,1.14e-12,0.15,9.3e-13,9e-13,9.8e-13,0.28,1e-15,1.1e-15,9e-16,1.89113
0.19,8e-16,9e-16,1e-15,0.2,1e-12,1e-12,1e-125,0.19,1.16e-12,1.16e-12,8.8e-13,0.21,9.3e-13,1.01e-12,1.2e-12,0.17,1.1e-15,1e-15,1e-15,2.13785
0.2,1e-15,8e-16,9e-16,0.2,1e-12,1e-12,1e-125,0.17,1.12e-12,1.06e-12,1e-12,0.28,9.6e-13,1.09e-12,1.05e-12,0.27,1.1e-15,1.1e-15,1e-15,2.70972
0.24,1.1e-15,9e-16,1.1e-15,0.2,1e-12,1e-12,1e-125,0.14,8.8e-13,1.03e-12,1.08e-12,0.29,1.09e-12,1.07e-12,9.9e-13,0.1,1e-15,1e-15,1e-15,2.74593
0.2,8e-16,1e-15,8e-16,0.2,1e-12,1e-12,1e-125,0.26,9.6e-13,1.03e-12,1.14e-12,0.28,1.08e-12,1.01e-12,1.01e-12,0.12,1.1e-15,1.1e-15,1e-15,3.47492
0.2,1e-15,9e-16,9e-16,0.2,1e-12,1e-12,1e-125,0.15,8.6e-13,8.9e-13,1.05e-12,0.17,1.1e-12,1.18e-12,9.3e-13,0.21,9e-16,1.1e-15,1e-15,3.79374
0.29,1.1e-15,9e-16,9e-16,0.2,1e-12,1e-12,1e-125,0.12,1.12e-12,9.4e-13,8.8e-13,0.22,9.5e-13,1.16e-12,1.02e-12,0.28,9e-16,1.1e-15,1.1e-15,4.44867
0.29,9e-16,9e-16,1e-15,0.2,1e-12,1e-12,1e-125,0.15,9.3e-13,1.01e-12,9.4e-13,0.16,1.03e-12,1.12e-12,9.5e-13,0.2,1.1e-15,1.1e-15,8e-16,4.46291
0.27,1.1e-15,9e-16,8e-16,0.2,1e-12,1e-12,1e-125,0.11,9e-13,8.4e-13,1.16e-12,0.18,1.12e-12,8.8e-13,1.2e-12,0.25,9e-16,9e-16,1.1e-15,4.65361
0.29,8e-16,8e-16,8e-16,0.2,1e-12,1e-12,1e-125,0.28,8.5e-13,1.11e-12,1.01e-12,0.12,1.04e-12,9.7e-13,9.8e-13,0.16,1e-15,1.1e-15,1.1e-15,5.22242
0.12,1.1e-15,1e-15,1e-15,0.2,1e-12,1e-12,1e-125,0.2,1.13e-12,1.05e-12,1.11e-12,0.29,9e-13,1.1e-12,1.15e-12,0.13,1.1e-15,1.1e-15,1e-15,5.83378
0.26,8e-16,1e-15,8e-16,0.2,1e-12,1e-12,1e-125,0.18,1.13e-12,9.7e-13,9.8e-13,0.19,8.6e-13,1.19e-12,8.5e-13,0.2,1.1e-15,8e-16,1e-15,6.05117
0.28,8e-16,1e-15,8e-16,0.2,1e-12,1e-12,1e-125,0.1,1.12e-12,8.4e-13,1.09e-12,0.25,1.01e-12,9.2e-13,8.9e-13,0.29,1e-15,1.1e-15,8e-16,6.36158
0.11,1.1e-15,8e-16,1e-15,0.2,1e-12,1e-12,1e-125,0.18,1.19e-12,1.13e-12,8.4e-13,0.27,9.4e-13,1.2e-12,8e-13,0.17,9e-16,9e-16,8e-16,6.51406
0.12,9e-16,1.1e-15,9e-16,0.2,1e-12,1e-12,1e-125,0.25,9e-13,1.01e-12,8e-13,0.29,1.18e-12,9.6e-13,9.7e-13,0.24,1e-15,9e-16,9e-16,6.51881
0.17,1.1e-15,1.1e-15,9e-16,0.2,1e-12,1e-12,1e-125,0.23,1.05e-12,1.06e-12,8.6e-13,0.16,9e-13,9.9e-13,1.01e-12,0.18,1.1e-15,1.1e-15,8e-16,6.71553
0.26,9e-16,1.1e-15,9e-16,0.2,1e-12,1e-12,1e-125,0.27,8.6e-13,8.2e-13,1.05e-12,0.14,1.14e-12,1.12e-12,1.09e-12,0.29,9e-16,1.1e-15,9e-16,6.88308
0.22,1.1e-15,9e-16,1.1e-15,0.2,1e-12,1e-12,1e-125,0.2,1.18e-12,8.3e-13,1.13e-12,0.21,8.6e-13,1.02e-12,1.02e-12,0.25,1e-15,8e-16,9e-16,7.09066
